,City,State,MedianAge,MalePopulation,FemalePopulation,TotalPopulation,NumberofVeterans,Foreignborn,AverageHouseholdSize,StateCode,Asian,Black,Hispa,Native,White
147,Wilmington,Delaware,36.4,32680.0,39277.0,71957,3063.0,3336.0,2.45,DE,1193.0,44182.0,5516.0,414.0,23743.0
148,Miramar,Florida,36.6,66157.0,70958.0,137115,3077.0,57179.0,3.41,FL,12084.0,65840.0,46767.0,,58914.0
149,Riverview,Florida,32.2,44210.0,45536.0,89746,6943.0,12240.0,3.22,FL,3582.0,15159.0,23317.0,726.0,60793.0
150,Arlington Heights,Illinois,45.9,37627.0,39369.0,76996,3027.0,14630.0,2.38,IL,9975.0,1222.0,2742.0,,66285.0
151,Lorain,Ohio,35.6,30844.0,32807.0,63651,4905.0,1531.0,2.52,OH,308.0,16388.0,19342.0,904.0,46667.0
152,Mesquite,Texas,34.6,69240.0,75884.0,145124,6438.0,26755.0,2.96,TX,4496.0,37339.0,56753.0,2564.0,98597.0
153,Appleton,Wisconsin,35.6,37217.0,38038.0,75255,4219.0,4454.0,2.49,WI,5561.0,3407.0,5139.0,835.0,64674.0
154,Johns Creek,Georgia,39.0,40282.0,43057.0,83339,1983.0,29000.0,3.19,GA,24289.0,11273.0,5924.0,826.0,48414.0
155,Nampa,Idaho,31.4,45651.0,44199.0,89850,4736.0,6607.0,2.98,ID,1486.0,1600.0,22066.0,2167.0,80776.0
156,Sterling Heights,Michigan,39.6,64985.0,67077.0,132062,6970.0,34313.0,2.66,MI,12264.0,8054.0,2811.0,,112743.0
157,Tacoma,Washington,37.7,100914.0,107036.0,207950,19040.0,31863.0,2.48,WA,26909.0,30914.0,25764.0,5549.0,149859.0
158,Manchester,New Hampshire,37.3,54845.0,55378.0,110223,5473.0,14506.0,2.4,NH,4304.0,6896.0,11962.0,558.0,100108.0
159,Overland Park,Kansas,38.2,93355.0,93156.0,186511,10461.0,21407.0,2.41,KS,17123.0,10685.0,10104.0,1264.0,161153.0
160,Cicero,Illinois,28.5,43153.0,40714.0,83867,629.0,33801.0,3.89,IL,1193.0,2865.0,76425.0,964.0,30824.0
161,Weston,Florida,38.6,32956.0,36991.0,69947,1507.0,30876.0,3.34,FL,4130.0,3697.0,36687.0,128.0,61021.0
162,Meridian,Idaho,38.0,43353.0,47400.0,90753,5640.0,8110.0,2.54,ID,2693.0,1809.0,6596.0,492.0,84625.0
163,Trenton,New Jersey,33.3,42581.0,41650.0,84231,2604.0,20428.0,3.04,NJ,1437.0,43471.0,30613.0,98.0,37683.0
164,Temecula,California,34.2,54407.0,57619.0,112026,7587.0,18884.0,3.34,CA,14532.0,5698.0,36246.0,2236.0,85130.0
165,Saint Charles,Missouri,34.9,32054.0,36747.0,68801,4371.0,5274.0,2.33,MO,3392.0,6842.0,4070.0,681.0,58662.0
166,Antioch,California,34.0,54733.0,55809.0,110542,5681.0,24942.0,3.31,CA,14333.0,23227.0,35563.0,3462.0,51151.0
167,Eugene,Oregon,33.4,79071.0,84377.0,163448,8896.0,14503.0,2.34,OR,11073.0,5632.0,17356.0,5035.0,146807.0
168,Edinburg,Texas,29.3,39422.0,45079.0,84501,2409.0,16569.0,3.31,TX,812.0,,74698.0,,77560.0
169,Huntington Beach,California,41.6,99967.0,101960.0,201927,10454.0,35368.0,2.67,CA,29095.0,4027.0,42303.0,2843.0,156071.0
170,Torrance,California,41.2,73209.0,75259.0,148468,8459.0,43096.0,2.7,CA,54317.0,5906.0,25699.0,3638.0,80498.0
171,South Bend,Indiana,32.4,50483.0,53274.0,103757,3708.0,8779.0,2.72,IN,1788.0,30005.0,16462.0,411.0,71391.0
172,Bethlehem,Pennsylvania,35.1,35861.0,38506.0,74367,4704.0,6295.0,2.46,PA,3759.0,7821.0,23409.0,,64526.0
173,Lakewood,California,39.9,41523.0,40069.0,81592,4094.0,18274.0,3.13,CA,18999.0,6123.0,24987.0,398.0,43766.0
174,Birmingham,Alabama,35.6,102122.0,112789.0,214911,13212.0,8258.0,2.21,AL,1500.0,157985.0,8940.0,1319.0,51728.0
175,Hawthorne,California,33.7,43682.0,44762.0,88444,2123.0,32107.0,2.97,CA,7601.0,21566.0,50115.0,906.0,23665.0
176,Boca Raton,Florida,47.3,44760.0,48466.0,93226,4367.0,21117.0,2.22,FL,2494.0,4527.0,14735.0,556.0,80781.0
177,Vista,California,29.3,50680.0,50204.0,100884,4957.0,23271.0,3.52,CA,7189.0,5164.0,49524.0,,83529.0
178,Brockton,Massachusetts,35.2,46273.0,49041.0,95314,3036.0,27313.0,2.88,MA,2528.0,43646.0,10890.0,881.0,40110.0
179,New Rochelle,New York,40.6,38871.0,40967.0,79838,2780.0,26960.0,2.85,NY,4218.0,17723.0,23548.0,645.0,44435.0
180,Dearborn,Michigan,33.5,46482.0,48698.0,95180,3163.0,23920.0,3.04,MI,4134.0,3699.0,3533.0,713.0,88742.0
181,Charleston,South Carolina,35.0,63956.0,71568.0,135524,9368.0,5767.0,2.4,SC,2773.0,29998.0,3929.0,633.0,104016.0
182,Elizabeth,New Jersey,34.2,65896.0,63116.0,129012,1131.0,63413.0,3.18,NJ,3369.0,29822.0,86456.0,797.0,70873.0
183,Syracuse,New York,30.3,69462.0,74690.0,144152,5845.0,17733.0,2.39,NY,9386.0,46026.0,13368.0,3606.0,88679.0
184,Redding,California,38.8,42530.0,49049.0,91579,6926.0,5181.0,2.42,CA,5271.0,2112.0,9143.0,4352.0,81244.0
185,Scottsdale,Arizona,46.9,115712.0,121132.0,236844,16798.0,27207.0,2.17,AZ,11555.0,5279.0,24766.0,7003.0,205512.0
186,Glendale,Arizona,34.4,116795.0,123319.0,240114,13241.0,44133.0,2.89,AZ,15245.0,16254.0,83711.0,4064.0,202539.0
187,Fishers,Indiana,34.5,42161.0,43910.0,86071,2469.0,6138.0,2.8,IN,7571.0,6873.0,3409.0,,73361.0
188,Waldorf,Maryland,33.6,35640.0,39872.0,75512,6932.0,5954.0,2.69,MD,4100.0,47334.0,4810.0,1918.0,26788.0
189,Las Vegas,Nevada,37.5,310568.0,313201.0,623769,42397.0,127609.0,2.79,NV,55745.0,84987.0,204913.0,8456.0,429142.0
190,Victoria,Texas,35.8,32290.0,35291.0,67581,5000.0,4480.0,2.7,TX,2032.0,6058.0,34409.0,,58798.0
191,Anchorage,Alaska,32.2,152945.0,145750.0,298695,27492.0,33258.0,2.77,AK,36825.0,23107.0,27261.0,36339.0,212696.0
192,San Diego,California,34.5,693826.0,701081.0,1394907,92489.0,373842.0,2.73,CA,267222.0,111650.0,425414.0,16496.0,949388.0
193,Dayton,Ohio,32.8,66631.0,73966.0,140597,8465.0,7381.0,2.26,OH,1885.0,57280.0,4945.0,2010.0,86016.0
194,Glendale,California,42.1,98181.0,102844.0,201025,4448.0,111510.0,2.69,CA,42070.0,4619.0,30807.0,474.0,146718.0
195,Auburn,Washington,37.1,36837.0,39743.0,76580,5401.0,14842.0,2.73,WA,12341.0,4032.0,10836.0,3042.0,58293.0
196,Peoria,Arizona,36.9,80139.0,91103.0,171242,13019.0,14260.0,2.97,AZ,6631.0,8514.0,41129.0,3108.0,151232.0
197,Charlotte,North Carolina,34.3,396646.0,430475.0,827121,36046.0,128897.0,2.52,NC,55399.0,301568.0,113731.0,8746.0,446795.0
198,Gulfport,Mississippi,35.1,33108.0,38764.0,71872,6646.0,3072.0,2.54,MS,1723.0,27799.0,4247.0,,42870.0
199,Abilene,Texas,31.3,65212.0,60664.0,125876,9367.0,8129.0,2.64,TX,2929.0,14449.0,33222.0,1813.0,95487.0
200,Centreville,Virginia,36.0,34749.0,37033.0,71782,3779.0,27797.0,2.97,VA,25058.0,6724.0,9613.0,355.0,39129.0
201,Pleasanton,California,41.3,36662.0,42857.0,79519,2424.0,23208.0,2.87,CA,27662.0,1919.0,7949.0,608.0,49934.0
202,Westminster,California,42.9,45538.0,46573.0,92111,3435.0,42227.0,3.27,CA,46560.0,2270.0,19111.0,1022.0,37593.0
203,Waterbury,Connecticut,36.2,52235.0,56572.0,108807,3493.0,19967.0,2.71,CT,4080.0,26972.0,38222.0,492.0,69075.0
204,Davie,Florida,40.8,48754.0,52140.0,100894,4655.0,26532.0,2.72,FL,4581.0,11005.0,35311.0,464.0,79832.0
205,Houston,Texas,32.6,1149686.0,1148942.0,2298628,71898.0,696210.0,2.66,TX,173854.0,529431.0,1028148.0,13157.0,1386389.0
206,Concord,California,39.6,62310.0,66358.0,128668,6287.0,37428.0,2.72,CA,17453.0,6150.0,41400.0,1447.0,92575.0
207,Eagan,Minnesota,36.8,31587.0,34701.0,66288,2699.0,8642.0,2.49,MN,6923.0,8032.0,4328.0,684.0,52612.0
208,Duluth,Minnesota,34.7,41271.0,44855.0,86126,5015.0,2258.0,2.25,MN,1721.0,3891.0,1981.0,1894.0,81720.0
209,Carolina,Puerto Rico,42.0,64758.0,77308.0,142066,,,,PR,,,139967.0,12143.0,
210,Ellicott City,Maryland,42.4,34406.0,36526.0,70932,3856.0,17587.0,2.73,MD,22551.0,6089.0,1602.0,396.0,43537.0
211,Port Saint Lucie,Florida,42.1,84069.0,95341.0,179410,12416.0,34003.0,2.91,FL,7967.0,32986.0,34240.0,1536.0,135049.0
212,Greeley,Colorado,31.0,50792.0,50091.0,100883,4294.0,11480.0,2.75,CO,2202.0,2856.0,39271.0,2449.0,92874.0
213,Ames,Iowa,23.0,33814.0,31238.0,65052,2265.0,8606.0,2.16,IA,8979.0,1103.0,2024.0,,56157.0
214,West Jordan,Utah,30.8,57898.0,54044.0,111942,3577.0,11492.0,3.46,UT,3539.0,3179.0,21315.0,1211.0,100150.0
215,Chico,California,29.9,46168.0,44168.0,90336,4519.0,8425.0,2.5,CA,6101.0,3164.0,15578.0,2766.0,80467.0
216,Chino Hills,California,41.9,39639.0,38674.0,78313,3358.0,24764.0,3.05,CA,28132.0,3506.0,22539.0,1773.0,40030.0
217,New Bedford,Massachusetts,38.6,43793.0,51166.0,94959,4185.0,19024.0,2.39,MA,1811.0,8890.0,18336.0,346.0,63938.0
218,San Bernardino,California,28.5,108671.0,107466.0,216137,7741.0,55135.0,3.55,CA,12981.0,36393.0,136214.0,4520.0,123174.0
219,Longmont,Colorado,36.8,43941.0,48280.0,92221,4925.0,10424.0,2.63,CO,2255.0,1782.0,24846.0,1682.0,85853.0
220,Lincoln,Nebraska,32.3,138544.0,138802.0,277346,14694.0,22958.0,2.4,NE,15138.0,16445.0,20296.0,4281.0,246677.0
221,Pasco,Washington,28.6,35298.0,32799.0,68097,2052.0,16265.0,3.45,WA,2215.0,2265.0,38883.0,1054.0,55741.0
222,Cincinnati,Ohio,32.7,143654.0,154883.0,298537,13699.0,16896.0,2.08,OH,7633.0,133430.0,9121.0,3362.0,162245.0
223,New Braunfels,Texas,37.0,33071.0,36852.0,69923,5204.0,5405.0,2.85,TX,1610.0,3471.0,22522.0,648.0,63789.0
224,Union City,New Jersey,35.4,35376.0,33773.0,69149,705.0,40553.0,2.85,NJ,4044.0,4686.0,53174.0,545.0,50031.0
225,Fontana,California,29.5,100644.0,106828.0,207472,4076.0,61448.0,4.15,CA,14281.0,16986.0,156134.0,2656.0,85044.0
226,Milwaukee,Wisconsin,31.6,286315.0,313839.0,600154,20615.0,58321.0,2.51,WI,24832.0,248149.0,110335.0,10813.0,297038.0
227,Racine,Wisconsin,33.7,39314.0,38423.0,77737,4650.0,4403.0,2.56,WI,1175.0,20014.0,18215.0,1371.0,52445.0
228,Santa Maria,California,30.1,53320.0,51762.0,105082,2876.0,39192.0,3.83,CA,5058.0,1237.0,81551.0,1575.0,90403.0
229,Marysville,Washington,33.2,33436.0,33337.0,66773,5714.0,7721.0,2.79,WA,6185.0,1800.0,7142.0,3260.0,58894.0
230,Inglewood,California,34.9,52995.0,58661.0,111656,2703.0,34171.0,3.12,CA,2712.0,44991.0,60873.0,1395.0,33966.0
231,Cedar Rapids,Iowa,36.2,63109.0,67296.0,130405,7823.0,5404.0,2.32,IA,5406.0,11921.0,5328.0,1243.0,116851.0
232,German,Maryland,34.9,41115.0,43007.0,84122,2443.0,27877.0,2.95,MD,15921.0,22273.0,18202.0,1232.0,43330.0
233,Highlands Ranch,Colorado,39.6,49186.0,53281.0,102467,4840.0,8827.0,2.72,CO,5650.0,1779.0,8393.0,1480.0,94499.0
234,Tustin,California,33.4,39511.0,41052.0,80563,2434.0,25034.0,3.27,CA,16074.0,2954.0,33998.0,538.0,39660.0
235,Kent,Washington,33.4,61825.0,65137.0,126962,7985.0,38175.0,3.06,WA,26168.0,20450.0,21928.0,3651.0,67918.0
236,Urban Honolulu,Hawaii,41.4,176807.0,175959.0,352766,23213.0,101312.0,2.69,HI,240978.0,11781.0,24586.0,5592.0,110508.0
237,Richmond,California,35.3,52615.0,57100.0,109715,3611.0,42215.0,2.87,CA,20082.0,27434.0,45132.0,2348.0,36074.0
238,Deltona,Florida,39.9,44853.0,43621.0,88474,5664.0,7098.0,2.89,FL,1292.0,12056.0,31357.0,651.0,75686.0
239,Kissimmee,Florida,36.7,33283.0,35869.0,69152,2449.0,16879.0,3.01,FL,2634.0,6623.0,44120.0,,51123.0
240,Springfield,Massachusetts,31.8,74744.0,79592.0,154336,5723.0,16226.0,2.81,MA,5606.0,35284.0,69209.0,2087.0,97171.0
241,San Mateo,California,39.3,50966.0,52558.0,103524,2730.0,34957.0,2.64,CA,30573.0,2880.0,23151.0,682.0,62656.0
242,Fall River,Massachusetts,39.3,43314.0,45456.0,88770,4143.0,14775.0,2.21,MA,1891.0,6389.0,9081.0,1481.0,77242.0
243,Carmichael,California,41.0,29281.0,33934.0,63215,4225.0,7378.0,2.39,CA,4205.0,4675.0,9291.0,2603.0,55862.0
244,Lauderhill,Florida,35.7,32813.0,38761.0,71574,1965.0,25471.0,3.02,FL,2662.0,56948.0,6089.0,1186.0,10788.0
245,Worcester,Massachusetts,34.9,90951.0,93855.0,184806,9408.0,36907.0,2.43,MA,15932.0,27491.0,39000.0,1917.0,131898.0
246,Providence,Rhode Island,29.9,89090.0,90114.0,179204,4933.0,53532.0,2.72,RI,13432.0,30638.0,77968.0,4171.0,97885.0
247,Fayetteville,Arkansas,27.1,41959.0,40873.0,82832,4744.0,6313.0,2.28,AR,4707.0,6927.0,5535.0,2058.0,68830.0
248,Santa Rosa,California,37.9,86840.0,88149.0,174989,9101.0,33015.0,2.7,CA,13496.0,7157.0,54578.0,8859.0,138506.0
249,Union City,California,38.5,38599.0,35911.0,74510,1440.0,32752.0,3.46,CA,44849.0,5508.0,13207.0,243.0,16845.0
250,Lakeland,Florida,38.1,47840.0,56570.0,104410,7390.0,11592.0,2.56,FL,3348.0,25111.0,16501.0,288.0,75636.0
251,Boulder,Colorado,29.0,56342.0,51000.0,107342,4061.0,12993.0,2.24,CO,8772.0,1615.0,9795.0,767.0,98243.0
252,Richmond,Virginia,33.6,104793.0,115496.0,220289,12538.0,15741.0,2.29,VA,6626.0,109722.0,14259.0,4902.0,104568.0
253,Bayonne,New Jersey,39.7,32705.0,33598.0,66303,2225.0,21899.0,2.62,NJ,7171.0,7581.0,19525.0,,41431.0
254,Santa Barbara,California,37.8,45068.0,46784.0,91852,4518.0,19441.0,2.51,CA,4964.0,2013.0,31102.0,1560.0,73659.0
255,Yuba City,California,34.5,33654.0,33290.0,66944,4706.0,18032.0,2.9,CA,15065.0,1912.0,20890.0,2163.0,48746.0
256,Palo Alto,California,40.2,31451.0,35397.0,66848,2025.0,23348.0,2.55,CA,24055.0,1049.0,3496.0,556.0,43019.0
257,Pueblo,Colorado,37.6,55635.0,53784.0,109419,7989.0,3578.0,2.44,CO,2468.0,4107.0,57579.0,7306.0,86097.0
258,The Villages,Florida,70.5,,,72590,15231.0,4034.0,,FL,,331.0,1066.0,,72211.0
259,Fort Wayne,Indiana,34.7,124815.0,133329.0,258144,13539.0,19146.0,2.45,IN,13596.0,46319.0,21234.0,3577.0,204114.0
260,Santa Ana,California,30.8,167503.0,167920.0,335423,4735.0,152999.0,4.58,CA,37651.0,5813.0,262436.0,4838.0,163096.0
261,Bismarck,North Dakota,38.0,34675.0,35565.0,70240,4145.0,2064.0,2.11,ND,930.0,1700.0,1667.0,4040.0,64719.0
262,Phoenix,Arizona,33.8,786833.0,776168.0,1563001,72388.0,300702.0,2.89,AZ,66403.0,132939.0,669914.0,41748.0,1161455.0
263,Daly City,California,39.7,53817.0,52757.0,106574,3782.0,56640.0,3.26,CA,61918.0,5401.0,24316.0,893.0,25522.0
264,South San Francisco,California,39.4,34177.0,33094.0,67271,1839.0,27528.0,3.33,CA,23008.0,2327.0,29173.0,535.0,28135.0
265,Bloomington,Indiana,23.5,40588.0,43227.0,83815,2368.0,10033.0,2.33,IN,9801.0,5133.0,3643.0,912.0,71200.0
266,Independence,Missouri,38.6,54348.0,62907.0,117255,10220.0,4911.0,2.33,MO,558.0,10394.0,12236.0,1883.0,98940.0
267,Kennewick,Washington,32.0,38492.0,40411.0,78903,5158.0,8376.0,2.78,WA,4252.0,2887.0,19395.0,1101.0,65228.0
268,Flagstaff,Arizona,23.9,33224.0,37093.0,70317,3667.0,4262.0,2.55,AZ,2646.0,3144.0,13606.0,5117.0,58696.0
269,Brandon,Florida,36.1,55679.0,58289.0,113968,9417.0,16390.0,2.64,FL,9440.0,23475.0,26224.0,1921.0,80811.0
270,Kansas City,Kansas,33.4,74606.0,76655.0,151261,8139.0,25507.0,2.71,KS,7301.0,40177.0,44342.0,2749.0,96113.0
271,Waukegan,Illinois,32.3,45514.0,42833.0,88347,3404.0,30997.0,2.92,IL,4933.0,11697.0,54214.0,677.0,65629.0
272,Fort Collins,Colorado,29.6,80893.0,80288.0,161181,8425.0,9704.0,2.45,CO,7913.0,3176.0,15521.0,3271.0,150568.0
273,Jacksonville,North Carolina,24.2,40015.0,27348.0,67363,8252.0,3732.0,2.51,NC,4204.0,13253.0,11947.0,1741.0,51245.0
274,Cary,North Carolina,39.9,78932.0,81582.0,160514,7426.0,30008.0,2.61,NC,25124.0,15496.0,10327.0,1752.0,119814.0
275,Saint Joseph,Missouri,35.7,37688.0,38408.0,76096,5846.0,3755.0,2.58,MO,1271.0,6964.0,5400.0,1018.0,68293.0
276,Melbourne,Florida,43.4,39180.0,40956.0,80136,8363.0,9685.0,2.37,FL,5186.0,11721.0,6060.0,251.0,65397.0
277,Palm Bay,Florida,40.7,51767.0,56128.0,107895,10942.0,12070.0,2.82,FL,1124.0,20891.0,16841.0,1603.0,84328.0
278,Plantation,Florida,40.6,42881.0,49674.0,92555,4037.0,27902.0,2.73,FL,3954.0,19670.0,26401.0,,66970.0
279,Olathe,Kansas,33.0,65046.0,69270.0,134316,6042.0,11913.0,2.97,KS,6288.0,9518.0,16131.0,1872.0,120282.0
280,Sioux Falls,South Dakota,34.6,86596.0,84934.0,171530,8658.0,12934.0,2.38,SD,4689.0,10904.0,9388.0,4623.0,149298.0
281,Portsmouth,Virginia,33.6,45900.0,50301.0,96201,10261.0,1815.0,2.54,VA,1785.0,52972.0,3896.0,1584.0,43004.0
282,Kansas City,Missouri,35.9,228430.0,246931.0,475361,24710.0,37787.0,2.35,MO,17061.0,147739.0,46037.0,5796.0,296623.0
283,Jackson,Tennessee,35.3,30007.0,36973.0,66980,3529.0,2097.0,2.52,TN,1171.0,30103.0,3383.0,564.0,36037.0
284,Spokane,Washington,36.6,102756.0,110511.0,213267,18044.0,13253.0,2.34,WA,9059.0,10045.0,13365.0,7192.0,193143.0
285,Colorado Springs,Colorado,34.8,225544.0,231018.0,456562,49291.0,35320.0,2.48,CO,22619.0,38976.0,78711.0,11146.0,374900.0
286,McKinney,Texas,35.6,77339.0,85548.0,162887,8082.0,25760.0,2.91,TX,13882.0,16689.0,31705.0,1801.0,129192.0
287,Henderson,Nevada,42.5,139412.0,146246.0,285658,25045.0,35666.0,2.55,NV,24931.0,18816.0,47154.0,3036.0,234301.0
288,Norfolk,Virginia,30.2,128917.0,117476.0,246393,29445.0,16702.0,2.51,VA,11854.0,107893.0,18760.0,3259.0,127741.0
289,Arvada,Colorado,41.0,54870.0,60165.0,115035,8930.0,4921.0,2.49,CO,2922.0,2985.0,16419.0,2370.0,107639.0
290,Hollywood,Florida,41.4,75358.0,74363.0,149721,6056.0,55158.0,2.65,FL,4696.0,34916.0,53247.0,1010.0,107916.0
291,Chesapeake,Virginia,36.7,114964.0,120465.0,235429,29772.0,13966.0,2.73,VA,11354.0,73850.0,12959.0,2087.0,150414.0
292,Columbus,Ohio,32.5,413981.0,435086.0,849067,40238.0,101129.0,2.4,OH,48974.0,256764.0,46855.0,11496.0,549468.0
293,Spring Hill,Florida,45.1,48295.0,54902.0,103197,9737.0,7893.0,2.58,FL,2409.0,7689.0,15838.0,1254.0,91742.0
294,Kenosha,Wisconsin,36.3,49349.0,50507.0,99856,6238.0,7443.0,2.55,WI,2537.0,11915.0,18772.0,1264.0,84780.0
295,Kendall,Florida,40.2,36658.0,39808.0,76466,1678.0,31180.0,2.81,FL,3650.0,2937.0,47521.0,,70266.0
